"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","Part Number","Link"
"C1,C2,C3,C13,C15","5","4.7u","","","","Capacitor_SMD:C_0603_1608Metric","","Samsung Electro-Mechanics","C1705,C368809","https://www.lcsc.com/product-detail/C1705.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.4.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D,https://www.lcsc.com/product-detail/C368809.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"C4,C6,C7,C8,C9,C10,C11,C12,C14,C20","10","100n","","","","Capacitor_SMD:C_0402_1005Metric","","Walsin","C152819","https://www.lcsc.com/product-detail/C152819.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.27.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"C5","1","100p","","","","Capacitor_SMD:C_0402_1005Metric","","YAGEO","C106200","https://www.lcsc.com/product-detail/C106200.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.8.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"C16,C17","2","13p","","","","Capacitor_SMD:C_0402_1005Metric","","muRata","C161306","https://www.lcsc.com/product-detail/C161306.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"C18","1","0.8p","","","","Capacitor_SMD:C_0402_1005Metric","","muRata","C88902","https://www.lcsc.com/product-detail/C88902.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"C19","1","0.3p","","","","Capacitor_SMD:C_0402_1005Metric","","muRata","C76909","https://www.lcsc.com/product-detail/C76909.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlJURlVXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D"
"D1","1","LED","","","","LED_SMD:LED_0402_1005Metric","","YONGYUTAI","C21260817","https://www.lcsc.com/product-detail/C21260817.html?s_z=n_q_t_led&spm=wm.fly.bg.9.xh___wm.ssy.tc.0.tz&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlBSRFhWUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlJfVFJSWQkaCgg%3D"
"FLT1","1","DLF162500LT-5028A1","","","","CustomFootprints:DLF162500LT-5028A1","https://product.tdk.com/en/system/files/dam/doc/product/rf/rf/filter/catalog/rf_lpf_dlf162500lt-5028a1_en.pdf","TDK","C531364","https://www.lcsc.com/product-detail/C531364.html?s_z=n_q_DLF162500LT-5028A1&spm=wm.fly.bg.0.xh&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlBWQVBWUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlXU1xfQE8GEwkK"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","HCTL","C2894897","https://www.lcsc.com/product-detail/C2894897.html?spm=wm.fly.bg.3.xh___wm.fly.tp.2.ml&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdVlRTQ1hcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHkteQ1NADxALGw%3D%3D"
"J2","1","Conn_01x06_Socket","","","","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","","hanxia","HX PM1.27-1x6P ZC","https://www.lcsc.com/product-detail/C22438072.html?spm=wm.fly.bg.0.xh___wm.fly.tp.5.ml&lcsc_vid=EQBWAwJfEgMNA1FWQwMKA1FWFlYLUAVTTwdbVQEDE1UxVlNeQFRdV1xeQFRdUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlJADxALGw%3D%3D"
