Designator,Mid X,Mid Y,Rotation,Layer
C1,10.75,9.664726,0.0,top
C10,19.3,17.504726,180.0,top
C11,26.34,12.184726,270.0,top
C12,15.49,10.069726,90.0,top
C13,27.78,11.639726,270.0,top
C14,18.94,1.934726,90.0,top
C15,23.1375,17.774726,0.0,top
C16,19.85,7.764726,0.0,top
C17,17.77,7.764726,180.0,top
C18,30.25,11.664726,270.0,top
C19,31.75,13.164726,270.0,top
C2,13.43,6.302226,90.0,top
C20,30.75,5.684726,270.0,top
C3,18.5,20.664726,180.0,top
C4,19.3,18.914726,180.0,top
C5,26.5,14.684726,270.0,top
C6,27.67,14.684726,270.0,top
C7,16.0,13.914726,180.0,top
C8,23.0,7.824726,0.0,top
C9,16.66,10.069726,90.0,top
D1,27.5,8.429726,90.0,top
FLT1,33.6125,12.664726,0.0,top
FM1,7.25,21.164726,0.0,top
FM2,32.25,3.014726,0.0,top
FM3,32.254,21.164726,0.0,top
H1,2.999726,21.164726,0.0,top
H2,3.0,3.014726,0.0,top
H4,36.5,3.015,0.0,top
H5,36.503726,21.165,0.0,top
J1,3.34,12.664726,270.0,top
J2,11.325,2.664726,270.0,top
J3,25.405,2.664726,90.0,top
J4,33.75,16.664726,90.0,top
L1,20.93,18.164726,270.0,top
L2,22.0,20.264726,180.0,top
L3,30.0,13.664726,180.0,top
R1,6.74,6.664726,180.0,top
R2,6.74,18.664726,180.0,top
R3,28.69,8.429726,270.0,top
R4,26.04,5.664726,270.0,top
R5,24.77,5.664726,270.0,top
R8,29.5,5.664726,270.0,top
R9,32.0,5.664726,270.0,top
SW1,34.5,8.664726,180.0,top
U1,10.75,6.664726,90.0,top
U2,11.25,12.664726,180.0,top
U3,21.5,12.664726,180.0,top
X1,18.3,6.014726,0.0,top
X2,27.05,18.414726,270.0,top
