Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C2, C3",0603,5,4.7u,
"C10, C11, C12, C14, C20, C4, C6, C7, C8, C9",0402,10,100n,
"C16, C17",0402,2,13p,
C18,0402,1,0.8p,
C19,0402,1,0.3p,
C5,0402,1,100p,
D1,0402,1,LED,
FLT1,DLF162500LT-5028A1,1,DLF162500LT-5028A1,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Socket,
J3,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Socket,
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
L1,0402,1,10n,
L2,0805,1,10u,
L3,0402,1,2.7n,
"R1, R2, R8",0402,3,5.1k,
"R3, R4, R5, R9",0402,4,220R,
SW1,"SMD,4x3mm",1,SW_Push,
U1,SOT-23-5,1,TLV70033_SOT23-5,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32WB55CEU6,
X1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,
X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
